kwy_id;kwy_nazwa;twy_nazwa;twy_id
100;pozosta³e;Inne;9
101;pozosta³e;inne;9
102;jedzenie;Spo¿ywcze;7
103;zajêcia sportowe;Rozrywka;6
104;czesne;Op³aty;5
105;u¿ywki;Spo¿ywcze;7
106;mieszkanie;Op³aty;5
107;lekarz;Zdrowie;1
108;apteka;Zdrowie;1
109;op³ata pozosta³e;Op³aty;5
110;higiena;Kosmetyki;8
111;fryzjer;Kosmetyki;8
112;buty;Garderoba;3
113;ubranie;Garderoba;3
114;benzyna;Transport;4
115;taxi;Transport;4
116;autobus;Transport;4
117;fizjoterapeuta;Zdrowie;1
